id_date,date,jour,mois,annee
778,2022-08-21,21,8,2022
779,2022-08-22,22,8,2022
780,2022-08-23,23,8,2022
781,2022-08-24,24,8,2022
782,2022-08-25,25,8,2022
783,2022-08-26,26,8,2022
784,2022-08-27,27,8,2022
785,2022-08-28,28,8,2022
786,2022-08-29,29,8,2022
787,2022-08-30,30,8,2022
788,2022-08-31,31,8,2022
789,2022-09-01,1,9,2022
790,2022-09-02,2,9,2022
791,2022-09-03,3,9,2022
792,2022-09-04,4,9,2022
793,2022-09-05,5,9,2022
794,2022-09-06,6,9,2022
795,2022-09-07,7,9,2022
796,2022-09-08,8,9,2022
797,2022-09-09,9,9,2022
798,2022-09-10,10,9,2022
799,2022-09-11,11,9,2022
800,2022-09-12,12,9,2022
801,2022-09-13,13,9,2022
802,2022-09-14,14,9,2022
803,2022-09-15,15,9,2022
804,2022-09-16,16,9,2022
805,2022-09-17,17,9,2022
806,2022-09-18,18,9,2022
807,2022-09-19,19,9,2022
808,2022-09-20,20,9,2022
809,2022-09-21,21,9,2022
810,2022-09-22,22,9,2022
811,2022-09-23,23,9,2022
812,2022-09-24,24,9,2022
813,2022-09-25,25,9,2022
814,2022-09-26,26,9,2022
815,2022-09-27,27,9,2022
816,2022-09-28,28,9,2022
817,2022-09-29,29,9,2022
818,2022-09-30,30,9,2022
819,2022-10-01,1,10,2022
820,2022-10-02,2,10,2022
821,2022-10-03,3,10,2022
822,2022-10-04,4,10,2022
823,2022-10-05,5,10,2022
824,2022-10-06,6,10,2022
825,2022-10-07,7,10,2022
826,2022-10-08,8,10,2022
827,2022-10-09,9,10,2022
828,2022-10-10,10,10,2022
829,2022-10-11,11,10,2022
830,2022-10-12,12,10,2022
831,2022-10-13,13,10,2022
832,2022-10-14,14,10,2022
833,2022-10-15,15,10,2022
834,2022-10-16,16,10,2022
835,2022-10-17,17,10,2022
836,2022-10-18,18,10,2022
837,2022-10-19,19,10,2022
838,2022-10-20,20,10,2022
839,2022-10-21,21,10,2022
840,2022-10-22,22,10,2022
841,2022-10-23,23,10,2022
842,2022-10-24,24,10,2022
843,2022-10-25,25,10,2022
844,2022-10-26,26,10,2022
845,2022-10-27,27,10,2022
846,2022-10-28,28,10,2022
847,2022-10-29,29,10,2022
848,2022-10-30,30,10,2022
849,2022-10-31,31,10,2022
850,2022-11-01,1,11,2022
851,2022-11-02,2,11,2022
852,2022-11-03,3,11,2022
